Date,Italy,Belgium,France,Germany,Spain,Netherlands
2020-02-20,3,,,,,
2020-02-21,20,,,,,
2020-02-22,79,,,,,
2020-02-23,150,,,,,
2020-02-24,227,,,16,4,
2020-02-25,320,,13,18,8,
2020-02-26,445,,18,21,14,
2020-02-27,650,,38,26,26,1
2020-02-28,888,,57,53,45,2
2020-02-29,1128,,100,66,59,6
2020-03-01,1694,2,130,117,84,9
2020-03-02,2036,8,191,151,125,19
2020-03-03,2502,13,212,188,169,24
2020-03-04,3089,23,285,240,228,38
2020-03-05,3858,50,423,349,282,82
2020-03-06,4636,109,613,534,365,128
2020-03-07,5883,169,949,684,430,188
2020-03-08,7375,200,1126,847,674,264
2020-03-09,9172,239,1412,1112,1231,321
2020-03-10,10149,267,1784,1296,1695,382
2020-03-11,12462,314,2281,1567,2277,503
2020-03-12,15113,399,2876,2369,3146,614
2020-03-13,17660,559,3661,3062,5232,804
2020-03-14,21157,689,4499,3795,6391,959
2020-03-15,24747,886,,4585,,
2020-03-16,,1085,,,,